number of electrons 5
[[ 1.01279911  0.32329498]
 [ 1.1709741   1.20945125]
 [ 1.4161607   0.68041347]
 [ 1.10698975  1.34744279]]
         251990 function calls (248557 primitive calls) in 1.442 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.002    0.002 plistlib.py:68(readPlist)
       28    0.002    0.000    0.002    0.000 {dir}
        1    0.002    0.002    0.002    0.002 {method 'readlines' of 'file' objects}
      140    0.000    0.000    0.002    0.000 cm.py:57(_generate_cmap)
       66    0.001    0.000    0.002    0.000 font_manager.py:689(__hash__)
        1    0.001    0.001    0.002    0.002 plistlib.py:400(parse)
      228    0.001    0.000    0.002    0.000 artist.py:648(update)
        1    0.001    0.001    0.002    0.002 urllib.py:23(<module>)
     5156    0.002    0.000    0.002    0.000 {getattr}
        2    0.001    0.000    0.002    0.001 function_base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 libferminode.py:267(plot_active_electron)
      258    0.002    0.000    0.002    0.000 artist.py:74(__init__)
       24    0.000    0.000    0.002    0.000 transforms.py:1156(transform_path_non_affine)
        1    0.002    0.002    0.002    0.002 transforms.py:30(<module>)
       20    0.002    0.000    0.002    0.000 libferminode.py:215(phi2D)
      545    0.001    0.000    0.002    0.000 cbook.py:431(is_string_like)
        1    0.002    0.002    0.002    0.002 tkagg.py:1(<module>)
        1    0.000    0.000    0.002    0.002 collections.py:884(__init__)
        1    0.000    0.000    0.002    0.002 axes.py:337(Axes)
        1    0.001    0.001    0.002    0.002 afm.py:35(<module>)
        2    0.000    0.000    0.002    0.001 axis.py:929(_update_ticks)
       87    0.000    0.000    0.002    0.000 pkg_resources.py:2247(_get_metadata)
        6    0.000    0.000    0.002    0.000 colors.py:356(to_rgba_array)
      259    0.001    0.000    0.002    0.000 transforms.py:1411(transform)
     16/8    0.000    0.000    0.002    0.000 __init__.py:265(wrapper)
     3633    0.002    0.000    0.002    0.000 {method 'replace' of 'str' objects}
       42    0.000    0.000    0.002    0.000 pyparsing_py2.py:704(copy)
        1    0.000    0.000    0.002    0.002 textwrap.py:348(fill)
        1    0.001    0.001    0.002    0.002 mlab.py:142(<module>)
        2    0.000    0.000    0.002    0.001 backend_agg.py:439(get_renderer)
        2    0.000    0.000    0.002    0.001 cm.py:185(to_rgba)
        1    0.001    0.001    0.002    0.002 heapq.py:31(<module>)
        1    0.001    0.001    0.002    0.002 result.py:1(<module>)
       44    0.000    0.000    0.002    0.000 copy.py:66(copy)
        4    0.000    0.000    0.002    0.000 axes.py:315(_grab_next_args)
        2    0.000    0.000    0.002    0.001 axes.py:279(_plot_args)
       44    0.000    0.000    0.002    0.000 transforms.py:1762(transform_non_affine)
        1    0.001    0.001    0.002    0.002 __init__.py:701(rc_params)
        1    0.000    0.000    0.002    0.002 collections.py:75(__init__)
        1    0.000    0.000    0.002    0.002 backend_agg.py:76(__init__)
       22    0.000    0.000    0.002    0.000 backend_agg.py:106(draw_markers)
       46    0.000    0.000    0.002    0.000 pkg_resources.py:2122(__init__)
        1    0.001    0.001    0.002    0.002 image.py:5(<module>)
        4    0.000    0.000    0.002    0.000 __init__.py:468(_get_configdir)
     1173    0.001    0.000    0.002    0.000 core.py:5641(isMaskedArray)
      657    0.001    0.000    0.002    0.000 cbook.py:422(iterable)
        1    0.001    0.001    0.002    0.002 tz.py:6(<module>)
        9    0.000    0.000    0.002    0.000 arrayprint.py:524(__init__)
       12    0.000    0.000    0.002    0.000 axis.py:880(iter_ticks)
    88/68    0.000    0.000    0.002    0.000 transforms.py:1913(transform)
